Row Labels,Average of Results Quality,Average of Duration
"cosine anchor, text_weight = 1, title_weight =0.6, anchor_weight = 0.4,pr_weight = 0.3,pv_weight = 0.1",0.211233333,2.615177759
Civil Rights Movement 1960s protests,2.2796738147735596,0.159,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Manhattan Project atomic bomb,1.381234884262085,0.31,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Cheese types and production,1.1619908809661865,0.378,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Anime history Japan Studio Ghibli,1.9103429317474365,0.135,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Berlin Wall fall reunification,1.4490809440612793,0.09,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Sushi origins Japan,1.2080800533294678,0.139,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
World War I causes consequences,2.72644305229187,0.131,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Higgs Boson discovery physics,1.4362621307373047,0.326,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Golden Age of Hollywood films,2.8487958908081055,0.083,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.2149019241333008,0.552,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Turing Machine early computing,1.857792854309082,0.306,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Theory of Relativity Einstein,1.1187231540679932,0.425,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Mobile phone technology evolution,1.3680849075317383,0.158,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
History of chocolate production,0.8995192050933838,0.177,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Apollo 11 moon landing 1969,1.566039800643921,0.114,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Gothic architecture medieval cathedrals,1.2686500549316406,0.604,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,1.3525848388671875,0.396,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Academy Awards history Oscars,2.2495768070220947,0.724,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Fermentation food preservation techniques,1.2777841091156006,0.243,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
History of pizza Italian cuisine,1.195561170578003,0.538,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
French cuisine traditional dishes,1.5699477195739746,0.224,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Endangered species conservation efforts,2.6101059913635254,0.302,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Greek mythology Western culture,1.628896951675415,0.198,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Cold War proxy conflicts,2.7771480083465576,0.353,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Nelson Mandela apartheid biography,1.1957910060882568,0.231,2025-01-26 14:24:59,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Human Genome Project DNA mapping,2.536468982696533,0.488,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Italian pasta varieties and recipes,2.0261261463165283,0.083,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Street food around the world,2.668030023574829,0.092,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Surrealism art Salvador Dalí,2.0680859088897705,0.351,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Mediterranean diet health benefits,1.7533340454101562,0.25,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Civil Rights Movement 1960s protests,2.7227141857147217,0.159,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Manhattan Project atomic bomb,1.6371979713439941,0.31,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Cheese types and production,1.5270202159881592,0.378,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Anime history Japan Studio Ghibli,2.475691080093384,0.135,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Berlin Wall fall reunification,2.1503169536590576,0.09,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Sushi origins Japan,1.8407840728759766,0.139,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
World War I causes consequences,3.011209011077881,0.131,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Higgs Boson discovery physics,1.5558509826660156,0.326,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Golden Age of Hollywood films,2.74853515625,0.083,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.3126411437988281,0.552,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Turing Machine early computing,2.117300033569336,0.306,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Theory of Relativity Einstein,1.536585807800293,0.425,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Mobile phone technology evolution,1.8413910865783691,0.158,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
History of chocolate production,1.228682041168213,0.177,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Apollo 11 moon landing 1969,2.332508087158203,0.114,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Gothic architecture medieval cathedrals,3.1931939125061035,0.604,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,2.082228899002075,0.396,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Academy Awards history Oscars,2.601670980453491,0.724,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Fermentation food preservation techniques,1.5352888107299805,0.243,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
History of pizza Italian cuisine,1.4602041244506836,0.538,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
French cuisine traditional dishes,2.1454620361328125,0.224,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Endangered species conservation efforts,2.0445451736450195,0.302,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Greek mythology Western culture,1.949185848236084,0.198,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Cold War proxy conflicts,2.146881103515625,0.353,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Nelson Mandela apartheid biography,1.5366010665893555,0.231,2025-01-26 16:58:46,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.3,pv_weight = 0.5"
Human Genome Project DNA mapping,1.9354643821716309,0.488,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Italian pasta varieties and recipes,2.0664238929748535,0.083,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Street food around the world,2.7638511657714844,0.092,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Surrealism art Salvador Dalí,2.1475090980529785,0.351,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Mediterranean diet health benefits,1.8419389724731445,0.25,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Civil Rights Movement 1960s protests,2.7637510299682617,0.159,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Manhattan Project atomic bomb,1.4541409015655518,0.31,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Cheese types and production,1.3925879001617432,0.378,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Anime history Japan Studio Ghibli,2.1699349880218506,0.143,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Berlin Wall fall reunification,1.833296298980713,0.09,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Sushi origins Japan,1.27174711227417,0.139,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
World War I causes consequences,2.788564920425415,0.131,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Higgs Boson discovery physics,1.7347779273986816,0.326,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Golden Age of Hollywood films,2.703896999359131,0.092,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Byzantine Empire Constantinople history,1.2950410842895508,0.552,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Turing Machine early computing,2.0715529918670654,0.334,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Theory of Relativity Einstein,1.2761931419372559,0.425,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Mobile phone technology evolution,1.7514081001281738,0.158,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
History of chocolate production,1.0991718769073486,0.177,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Apollo 11 moon landing 1969,1.8040928840637207,0.114,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Gothic architecture medieval cathedrals,1.6427199840545654,0.604,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Russian Revolution 1917 Bolsheviks,1.4787750244140625,0.396,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Academy Awards history Oscars,2.613163948059082,0.745,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Fermentation food preservation techniques,1.327929973602295,0.255,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
History of pizza Italian cuisine,1.4330661296844482,0.538,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
French cuisine traditional dishes,1.8447699546813965,0.224,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Endangered species conservation efforts,1.9085931777954102,0.302,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Greek mythology Western culture,1.9063539505004883,0.198,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Cold War proxy conflicts,2.0164852142333984,0.353,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Nelson Mandela apartheid biography,1.5907220840454102,0.231,2025-01-26 17:04:04,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.3"
Human Genome Project DNA mapping,2.0420849323272705,0.488,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Italian pasta varieties and recipes,1.8279399871826172,0.083,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Street food around the world,2.4654479026794434,0.092,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Surrealism art Salvador Dalí,2.147655963897705,0.351,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Mediterranean diet health benefits,1.6107661724090576,0.25,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Civil Rights Movement 1960s protests,2.6886770725250244,0.159,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Manhattan Project atomic bomb,1.537480115890503,0.31,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Cheese types and production,1.2823491096496582,0.378,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Anime history Japan Studio Ghibli,2.1588938236236572,0.143,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Berlin Wall fall reunification,1.7825212478637695,0.09,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Sushi origins Japan,1.4046289920806885,0.139,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
World War I causes consequences,2.950356960296631,0.131,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Higgs Boson discovery physics,1.777275800704956,0.326,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Golden Age of Hollywood films,2.4708430767059326,0.092,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Byzantine Empire Constantinople history,1.290212869644165,0.552,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Turing Machine early computing,1.766935110092163,0.334,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Theory of Relativity Einstein,1.3447821140289307,0.425,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Mobile phone technology evolution,1.7258238792419434,0.158,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
History of chocolate production,1.226489782333374,0.177,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Apollo 11 moon landing 1969,1.683142900466919,0.114,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Gothic architecture medieval cathedrals,1.7537639141082764,0.604,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Russian Revolution 1917 Bolsheviks,1.7823758125305176,0.396,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Academy Awards history Oscars,2.4568538665771484,0.745,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Fermentation food preservation techniques,1.5356650352478027,0.255,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
History of pizza Italian cuisine,1.5371131896972656,0.538,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
French cuisine traditional dishes,1.701413869857788,0.224,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Endangered species conservation efforts,1.8589301109313965,0.302,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Greek mythology Western culture,1.9638793468475342,0.198,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Cold War proxy conflicts,2.153391122817993,0.353,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Nelson Mandela apartheid biography,1.3568401336669922,0.231,2025-01-26 17:07:51,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Human Genome Project DNA mapping,2.000373125076294,0.488,2025-01-26 17:10:51,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
Italian pasta varieties and recipes,1.8409080505371094,0.083,2025-01-26 17:10:51,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.2,pv_weight = 0.2"
