Row Labels,Average of Results Quality,Average of Duration
"cosine anchor, text_weight = 1, title_weight =0.6, anchor_weight = 0.4,pr_weight = 0.3,pv_weight = 0.1",0.211233333,2.615177759
Golden Age of Hollywood films,2.5916643142700195,0.083,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.3511159420013428,0.529,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Turing Machine early computing,1.5591042041778564,0.306,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Theory of Relativity Einstein,1.0734429359436035,0.39,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mobile phone technology evolution,1.5462677478790283,0.175,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of chocolate production,1.01298189163208,0.177,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Apollo 11 moon landing 1969,1.6596558094024658,0.16,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Gothic architecture medieval cathedrals,1.398900032043457,0.629,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Russian Revolution 1917 Bolsheviks,1.4661548137664795,0.396,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Academy Awards history Oscars,2.2911553382873535,0.724,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Fermentation food preservation techniques,1.3604300022125244,0.255,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of pizza Italian cuisine,1.1516380310058594,0.538,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
French cuisine traditional dishes,1.455437183380127,0.224,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Endangered species conservation efforts,1.5813560485839844,0.268,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Greek mythology Western culture,1.6692259311676025,0.25,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Cold War proxy conflicts,1.9536478519439697,0.387,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Nelson Mandela apartheid biography,1.3978941440582275,0.231,2025-01-26 14:15:48,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.7, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Human Genome Project DNA mapping,1.9260270595550537,0.488,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Italian pasta varieties and recipes,1.4357209205627441,0.083,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Street food around the world,2.252364158630371,0.092,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Surrealism art Salvador Dalí,1.7393090724945068,0.351,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mediterranean diet health benefits,1.3674900531768799,0.25,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Civil Rights Movement 1960s protests,2.7857000827789307,0.159,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Manhattan Project atomic bomb,1.2653298377990723,0.31,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Cheese types and production,1.185882806777954,0.378,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Anime history Japan Studio Ghibli,1.794847011566162,0.135,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Berlin Wall fall reunification,1.588465929031372,0.09,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Sushi origins Japan,1.2597472667694092,0.139,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
World War I causes consequences,2.9173738956451416,0.112,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Higgs Boson discovery physics,1.3005340099334717,0.326,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Golden Age of Hollywood films,2.358419895172119,0.083,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Byzantine Empire Constantinople history,1.2188291549682617,0.552,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Turing Machine early computing,1.5701611042022705,0.277,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Theory of Relativity Einstein,1.0756630897521973,0.425,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
Mobile phone technology evolution,11.195098876953125,0.158,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
History of chocolate production,0.9659590721130371,0.177,2025-01-26 14:18:45,"NO anchor BMtitle k=1.5, b = 0.6, text_weight, c200 = 1.5, title_weight =0.5, anchor_weight = 0,pr_weight = 0.4,pv_weight = 0.5"
